country,room_type,traveler_type,nr_nights,year,month,score,full_review,emotion,emotion_score,year_month
Lithuania,Single Room,Solo traveller,6,2024,6,8.0,"Very good Location, size of room, bathroom, room service being a thing Occasional power outages",neutral,0.5488195419311523,2024-06
Argentina,Double Room,Couple,1,2024,5,8.0,"Good breakfast Room was clean. Breakfast is very good and complete. Personal is nice The building is old, as any in Portugal. I’m not complaining",joy,0.6413154006004333,2024-05
Canada,Single Room,Solo traveller,2,2024,4,8.0,"Porto roady Good value, easy access to public transit, decent breakie, pleasant checkin experience. No issues mentioned.",joy,0.921639084815979,2024-04
Portugal,Double Room,Family,1,2024,4,1.0,Bad No staff and AC doesn't work No issues mentioned.,sadness,0.8500121235847473,2024-04
Portugal,Single Room,Solo traveller,3,2024,1,2.0,"Only in emergency and if there’s nothing else available. No highlights mentioned. Only two AC outlets on the room, mould stains on the walls, the AC is working fixed and remote could not be found. Not a single carpet on the room, even a small one, and the floor is ceramic…it’s January. Walls are so thin that I can listen to the person on the room next door talking on the phone. Not to mention that the doorbell is listenable from the rooms, so you have to be in a very deep sleep if you want to avoid waking up late at night.",neutral,0.42583417892456055,2024-01
United Kingdom,Single Room,Solo traveller,3,2023,11,1.0,Night shift recepcionist on the 19th of November 23 should be sacked. Location For the second time the reception people locks the doors during the night and they off to sleep. I needed to set of to airport and the door was locked and the receponist nowhere to be seen.... was shouting and ringing the bell for 20 mins to the point of trying to break the door open....after been shouting really loud this individual comes and the arrogant not even apologised instead telling i shoud have ring the bell.,anger,0.6674610376358032,2023-11
Netherlands,Twin Room,Family,10,2023,8,8.0,"Very good Delicious breakfast included in the price. Always fresh bread. 
The service at the reception was very nice, although apart from the young lady working in the afternoon, no one else knew English, but we were still able to communicate. They should give her a raise.
Great working air conditioning. The condition of the room I stayed in. Renovations need to be done.",joy,0.6820716261863708,2023-08
Portugal,Double Room,Couple,3,2023,8,4.0,"Disappointing Nothing There was no air conditioning remote in the room

No housekeeping.

No good breakfast provided",sadness,0.7525519132614136,2023-08
United Kingdom,Twin Room,Group,10,2023,7,1.0,Terrible wouldn’t recommend Nothing Everything about the hotel,fear,0.9298670887947083,2023-07
Ireland,Double Room,Family,3,2023,8,1.0,"Avoid ! Close to the metro After the first night we discovered bed bugs on our bed !!!! moved to a different room, but the new room was so noisy that I could hear everything, noise from other guests, people walking up and down the stairs , buzzing the front door bell. I could not sleep and left at 2am on our 3rd night. It was cheap, and I would not mind the room being scabby and run down but the combination of bed bugs , noise and scabby room was horrific!",disgust,0.7015584707260132,2023-08
Australia,Double Room,Couple,1,2023,7,4.0,"Crap Nothing Tree rubble pillows, staff were not helpful they didn’t reply to my messages. Air conditioning wasn’t working. Black mould on surfaces in bathroom. 
Booked a balcony room snd didn’t get a balcony.",sadness,0.8210031390190125,2023-07
Kosovo,Single Room,Solo traveller,6,2023,7,2.0,"Was a black boy, who was very unpolite. I wait 20 min until he found my key for my room. He was very very unpolite. They Location Evrything old.",anger,0.638098955154419,2023-07
Germany,Twin Room,Solo traveller,4,2023,6,9.0,"Superb Very friendly staff, close to metro station and to feup campus. No issues mentioned.",joy,0.8150736093521118,2023-06
Portugal,Single Room,Solo traveller,2,2023,6,9.0,"Excellent staff. Good breakfast. Mold in the rooms What I liked the most was the staff and the breakfast was decently good. The mold in my room / bathroom. If you are going to raise the price because of a music festival happening in the city, could you at least clean the toxic mold for that weekend?",disgust,0.7762143015861511,2023-06
Bosnia and Herzegovina,Double Room,Couple,5,2023,6,10.0,"Exceptional Lobby, balcony No issues mentioned.",neutral,0.8836694955825806,2023-06
Portugal,Single Room,Solo traveller,1,2023,6,3.0,no repeat No highlights mentioned. the noise from a machine and the room floor was hot in some areas,neutral,0.31185171008110046,2023-06
Germany,Single Room,Solo traveller,3,2023,5,8.0,"Very good For a 2 star hotel, it's actually quite good. 2nd floor rooms are generally better than the 1st floor.",joy,0.797527551651001,2023-05
United Kingdom,Twin Room,Family,3,2023,5,3.0,"Poor The room was very old and dusty. Also we had bugs found everywhere. Very old building for the price charged per night.
Breakfast didn't had so much choice and milk was cold. No issues mentioned.",disgust,0.7361466884613037,2023-05
United Kingdom,Double Room,Family,2,2023,5,4.0,customer service was good but I wouldn’t stay here again as they said this hotel is near the city centre but it’s no whe Nothing the room and bathroom was small. they lied about the room. they said the room would have a private balcony with a smart TV. the room didn’t have a smart tv but instead there was an old outdated TV with no balcony.,neutral,0.32253745198249817,2023-05
Slovakia,Twin Room,Group,5,2023,4,2.0,"Cheap hotel, near to hospital, in noisy environment with uncomfortable beds. They try do the best, for that price, but its not working
Breakfast was not so bad - but you should have been late...
Receptionist was kind - but she couldn't speak english I did not expect so much for that price, but it was worse. I expected that beds will be not so comfortable, and it was not, I expected that breakfast will be not so good - its wasn’t so bad actually, but I expected that basic service what hotel should provide will be observed - it supposed to be place for resting. The walls were so thin I could hear literally everything, I could hear every ring of receptionist phone (and i was located at second floor), on the rooftop there is some kind of fan - you always can hear it, when you open room window there is another roof under you and there is another several fan - you feel like you are at some factory not at the hotel. I would never recommend this place to anyone – even not to my enemy...",disgust,0.9206276535987854,2023-04
United Kingdom,Single Room,Solo traveller,1,2023,4,1.0,"Noisy. The staff were nice. The fans on the roof outside the windows were so loud that I didn't get any sleep.
The walls are paper thin and I don't think it's been decorated for at least 10 years.",disgust,0.7087035775184631,2023-04
Croatia,Twin Room,Group,3,2023,4,3.0,"Poor We liked the breakfast. Had to return a pillow cause it was full of hair. One of the beds was covered in hair, towels in hair, hair everywhere.
Only one bed has a socket next to it.",disgust,0.8679302334785461,2023-04
Portugal,Single Room,Solo traveller,3,2023,3,4.0,"Bad experience this time Location is ok. Second night reception door closed, phoned few times no answer, rang the door bell no answer knocked at the door and eventually after 20 minutos standing outside in the cold the receponist were clearly still sleeping when come to open the door. 3 days and no towels were changed even when asked. Couldnt sleep propelly in the morning to extreme noise from the cleaners. And the bath tub does not drain the water propelly, while having a shower... even the bath tub curtain was so big that would get under your feet making the whole experience of having a shower a not confortable thing. Clearly the owner of that hotel is not doing his best to keep the hotel a good experience and to keep the guests.",sadness,0.6216363310813904,2023-03
Portugal,Double Room,Couple,2,2023,3,2.0,"Noisy Plenty of hot water and the room was clean. Location is ok and parking was easy. The constant loud noise (it sounded like there was an engine room above the room) which meant that we slept very badly , leaving more tired then when we arrived. So anything positive about the hotel is wiped out by this situation.",disgust,0.5001744031906128,2023-03
Poland,Double Room,Family,3,2023,1,1.0,"Horrible. No highlights mentioned. It stinks. Loud all night. Cold. Sheets with plastic foil underneath. Only one electrical outlet.
We escaped as soon as possible.",disgust,0.46678587794303894,2023-01
Finland,Single Room,Group,4,2022,11,3.0,Poor Free WiFi was really fast. Customer service was nice. Air conditioner was nice to have. Customer service did not always understand basic English. The rooms were in bad condition.,disgust,0.618493914604187,2022-11
Ireland,Single Room,Solo traveller,1,2022,11,10.0,Exceptional Plenty hot water. Helpful friendly staff No issues mentioned.,neutral,0.7269652485847473,2022-11
Portugal,Single Room,Solo traveller,1,2022,9,2.0,Very poor noisy and disheveled No issues mentioned.,disgust,0.9191412925720215,2022-09
United Kingdom,Single Room,Solo traveller,2,2022,8,9.0,"Nicely fitted room, good breakfast, quiet area but not central. Very nice building and well-appointed rooms, good breakfast in pleasant bright room. Mostly helpful staff. Quiet location with a couple of restaurants nearby. It's quite far from the centre but that's why it's quiet so no complaint. The only real problem I had was on the second day I realised that the walls must be quite thin because I could clearly hear phone conversations in the next room. Everyone talks louder on the phone but this person was not shouting and went on talking for a long time.",joy,0.6386805772781372,2022-08
Ireland,Single Room,Solo traveller,4,2022,8,8.0,Very good I liked staff and breakfast There was not ice water and I was so warm in my stay.,joy,0.8892232775688171,2022-08
Australia,Single Room,Solo traveller,1,2022,8,8.0,Not bad The staff and the bath Not enough fruit or any yogurt. Noise at night ?,fear,0.3634296953678131,2022-08
Denmark,Twin Room,Couple,6,2022,7,9.0,"A comfortable stay I loved super friendly staff (Ingrid, Elvis, and others) who kindly shared tips on what to see and do in Porto. Overall, the atmosphere is cosy and relaxed. The breakfast is really budget-friendly and tastes good. The room was simple, clean, and with AC. The hotel is close to the metro station, which helps to commute around the city easily. Also, there are supermarkets and laundry nearby. Would recommend this place for people wanting to stay away from overcrowded touristy locations. No issues mentioned.",joy,0.8080935478210449,2022-07
United Kingdom,Double Room,Couple,3,2022,7,9.0,"Great room with good connection to the city, WiFi and friendly staff It was a very functional room with friendly staff a d convenient parking. The bed was comfortable, good wifi The pillows were uncomfortable",joy,0.8523776531219482,2022-07
Germany,Single Room,Solo traveller,4,2022,6,8.0,"it was nice the guys working there are very sympathetic there is no lift, but the building has only 2 floors",joy,0.9269277453422546,2022-06
Canada,Single Room,Couple,2,2022,6,9.0,"A Gem in Porto Good breakfast, cozy room, good AC, nice balcony Looks a bit far, last stop on Yellow Metro. But reach Ribeira in 10 minutes or so. Hotels there are too expensive for no extra value.",neutral,0.48570188879966736,2022-06
United Kingdom,Double Room,Couple,1,2022,5,9.0,"good value for money for my purpose, I used it as a base for my visit and that was fine. The helpfulness of the staff. Marsiue/ Mathew? Is excellent with perfect English. He helped us with a number of things. All was much as expected. Although I am fairly certain the airport is further away than I was expecting.",joy,0.44541075825691223,2022-05
Romania,Single Room,Solo traveller,1,2022,5,10.0,"great hotel very clean place, good breakfast and very friendly and helpful staff No issues mentioned.",joy,0.9249610900878906,2022-05
Spain,Twin Room,Family,1,2022,4,3.0,Poor No highlights mentioned. It was very cold in the room,sadness,0.8600062727928162,2022-04
Portugal,Double Room,Couple,1,2022,4,10.0,"Exceptional The staff was brilliant, price quality is excelent It’s good for what you’re paying",neutral,0.6445303559303284,2022-04
Estonia,Double Room,Couple,3,2022,4,2.0,"Very poor The staff was quite friendly. Could hear everything from outside and the corridor and it seemed like a washing machine was constantly working even at night. Looked way better on pictures, actually seemed very old, dull and more like a hostel. Breakfast was almost non-existent, only some bacon, sausages, bread and coffee. One morning we noticed that the vacuum cleaner was put on the counter right next to plates and cutlery. There were stains on the bed and the room seemed dirty, for instance windows were not cleaned. Even the towels had rust stains on them. This ""hotel"" should get a major renovation.",disgust,0.9431459307670593,2022-04
Portugal,Double Room,Solo traveller,6,2023,2,7.0,Good it had everything I needed nothing,neutral,0.5095223784446716,2023-02
Spain,Twin Room,Couple,2,2023,3,1.0,"horrible stay nothing horrible breakfast, horrible employees and horrible room",fear,0.8844693303108215,2023-03
Brazil,Double Room,Couple,1,2025,2,7.0,"Bom Service 👍 Very simple room, needs a renovation",neutral,0.36625251173973083,2025-02
United Kingdom,Single Room,Solo traveller,10,2025,1,7.0,Good No highlights mentioned. The TV does not have the Portuguese general channels tuned. RTP. Sic. TVI. Etc.,neutral,0.726247251033783,2025-01
Portugal,Twin Room,Group,2,2025,1,5.0,"For the price could be better Great location The bed, the blanket, the balcony",neutral,0.45135486125946045,2025-01
Portugal,Twin Room,Family,1,2024,12,6.0,Pleasant No highlights mentioned. The air conditioner and television did not work.,sadness,0.941472053527832,2024-12
Italy,Double Room,Family,2,2024,12,6.0,"Pleasant -Position 
-very kind and helpful fee -insufficient level 
-Arredi and a little dated furnishings
-Presens that the hotel correctly indicated that check-in was from 2 pm onwards, arrived at the hotel around 11 we asked if the room was already available; We have been said yes but also that the entrance before the time would cost us 20 EUR; We refused but they were kind and made us leave the luggage that then brought us to the room ... it is not for the money, but this request does not seem to us a correct thing ... if the room had been occupied any problem, we would also have expected beyond the time if it had been necessary, but since it was free to allow us to enter before it would have provided us with a better service and made to rest a little since we came from a long journey ... at the hotel they would not have cost anyway ... of an excellent reputation ...",joy,0.7027062773704529,2024-12
Portugal,Twin Room,Group,2,2024,11,5.0,"It was reasonable. Breakfast was excellent. It had a lot of variety. 
That's what I liked the most.
It had an excellent location. The mattresses were extremely uncomfortable. They were terrible.
I want to believe that not all rooms will be like this.
There was a lot of moisture on the walls.",disgust,0.7680466175079346,2024-11
Portugal,Single Room,Solo traveller,2,2024,11,6.0,"Given the price, it was good. Mattress and pillows need to be changed Breakfast Mattress and pillows",neutral,0.7075061202049255,2024-11
Portugal,Double Room,Family,2,2024,11,5.0,"Passable Suitable breakfast. Lack of maintenance of the room.
Moisture on the ceiling.
Almost no television channels worked.",disgust,0.9041708707809448,2024-11
Argentina,Twin Room,Couple,1,2024,10,5.0,Passable A full breakfast. No three -story staircase information and bathroom with broken devices (shower and toilet),neutral,0.5427862405776978,2024-10
France,Double Room,Family,1,2024,10,5.0,DECEIVES Nothing No bed for my 2 year old baby .....,sadness,0.7920331358909607,2024-10
Portugal,Single Room,Solo traveller,1,2024,10,7.0,"Good Practical, 24h receptionist, breakfast Very old and lacking maintenance",neutral,0.8163273930549622,2024-10
France,Twin Room,Family,4,2024,10,6.0,"Pleasant Pleasant and dedicated staff.
Cleanliness.
Excellent breakfast. Lack of elevator. 
Need a lot of maintenance and renovation.",joy,0.7831439971923828,2024-10
Luxembourg,Single Room,Solo traveller,1,2024,10,6.0,Pleasant The price Cleanliness was not great and needs to be renovated,sadness,0.9703229665756226,2024-10
Turkey,Twin Room,Solo traveller,2,2024,9,5.0,"iron The location was good. The price is affordable according to its location. Safe and staff well -intentioned. this is everything. No details such as room service, food, drink. Breakfast is not enough. The bathroom is not useful.",neutral,0.4854145348072052,2024-09
Brazil,Double Room,Couple,2,2024,9,7.0,Good Very good breakfast No issues mentioned.,joy,0.6923331022262573,2024-09
Spain,Double Room,Couple,1,2024,9,7.0,"Good Good benefit price relationship, to spend one night. No issues mentioned.",neutral,0.7215111255645752,2024-09
Brazil,Single Room,Solo traveller,5,2024,9,7.0,Good. But the bathroom left something to be desired No highlights mentioned. The bedroom bathroom. In the shower box there was curtain that leaked water in the bathroom and bedroom.,disgust,0.8402555584907532,2024-09
Portugal,Double Room,Couple,1,2024,9,5.0,Served the purpose Price Certain things were very old,neutral,0.8417685031890869,2024-09
Brazil,Twin Room,Couple,3,2024,9,6.0,"I like the hotel, but it needs maintenance. Agility for room exchange Bathroom doors do not close, entrance door with rocking doorknob, bathroom with discharge leaking…. Finally needs maintenance…",sadness,0.48189476132392883,2024-09
Portugal,Twin Room,Family,2,2024,9,7.0,Good breakfast The breakfast is great. It has a variety of breads and with port -fashioned croissains. There are other food options. The facilities are old and worn out.,neutral,0.635664701461792,2024-09
Portugal,Double Room,Couple,1,2024,8,7.0,Good I liked the service Just one criticism: the towels only arrived at 15:30 hours.,neutral,0.36691850423812866,2024-08
Portugal,Double Room,Family,2,2024,8,7.0,"Good Going out for a walk, without worrying about the time of return, because just play the doorbell, and an employee comes to open the door.
The breakfast!
Good appearance, fresh and very varied. No issues mentioned.",joy,0.6353367567062378,2024-08
Spain,Double Room,Couple,4,2024,8,6.0,"Pleasant Very nice staff and suitable breakfast at the price. The facilities are very old. The towels were stained (all that they took us), some were even clippings of a larger towel and were parades (I attach photos).",joy,0.7609739899635315,2024-08
Spain,Twin Room,Family,2,2024,8,7.0,Good Customer service !! Without a doubt. No issues mentioned.,joy,0.523198664188385,2024-08
Brazil,Double Room,Couple,4,2024,8,5.0,"Passable Good location! About 10min of Uber from the center of Porto. 
Uber even the sights gave around 5 euros.
Strong shower. 
Simple but acceptable coffee.
Well -educated and receptive employees. Very bad cleaning, we find many hair in the bathroom. Mold walls and paint peeling from the bathroom. 
Poor quality pillows, old covers and a minibar lacked.",disgust,0.9511339664459229,2024-08
Spain,Double Room,Couple,5,2024,8,7.0,"Good Perfect location to go with a car.
The subway next to the center and can be parked well.
The comfortable bed. Slightly old furniture.",neutral,0.5414124131202698,2024-08
Italy,Single Room,Solo traveller,4,2024,7,6.0,Pleasant The very friendly staff The room stinking with smoke and it was difficult to adjust the water to the bathroom at a bearable temperature.,disgust,0.6857134103775024,2024-07
Portugal,Double Room,Group,1,2024,8,7.0,Good All Everything was good,joy,0.8809449672698975,2024-08
Portugal,Double Room,Family,1,2024,7,6.0,"Pleasant The staff very well received at the premises and cleaning breakfast for the hotel it is. Hotel without elevator, very old installations, low maintenance bathroom and old with some damaged things.",joy,0.59404456615448,2024-07
Portugal,Single Room,Solo traveller,2,2024,6,7.0,Good Employee availability. The wear of sanitary facilities.,disgust,0.9384573101997375,2024-06
Spain,Twin Room,Group,2,2024,7,6.0,"Recommended for the price, it looked better in the photos It is close to the subway, the reception girls are very pleasant The two days I spent was the light for hours",joy,0.9360357522964478,2024-07
Spain,Single Room,Family,3,2024,7,6.0,Pleasant Breakfast The facilities are a bit careless and a bit dirty.,disgust,0.8264546990394592,2024-07
Portugal,Double Room,Couple,6,2024,7,7.0,Good FUNCTIONARIES WERE REASONABLE AND ATTENDIOUS Bathroom,neutral,0.6390416026115417,2024-07
East Timor,Double Room,Family,1,2024,7,5.0,"The price is excellent Cheap price, We heard a lot of noise from cars",neutral,0.7379617691040039,2024-07
Portugal,Double Room,Family,1,2024,6,5.0,"Passable Acceptable only to rest a few hours Air conditioning to work very badly,
When arriving at the room, there was no air conditioning command, we had to ask at the reception, after turning on and starting to work, water began to fall inside the room.
Lack of towels in the bathroom.",disgust,0.826120138168335,2024-06
Portugal,Twin Room,Couple,1,2024,6,6.0,"Answered basicly Too simple but clean, I suggest some more modern decoration. I didn't like it, quite basic.",disgust,0.525253176689148,2024-06
Portugal,Twin Room,Couple,3,2024,5,5.0,"Travel for boat trip on the Douro River. Good and very variety of breakfast, hotel close to Metro and other public transport. The whole hotel needs a great renewal, dirty and degraded porch.",disgust,0.5134082436561584,2024-05
Portugal,Twin Room,Couple,1,2024,6,5.0,Passable Sympathy Comfort,neutral,0.44079092144966125,2024-06
Portugal,Twin Room,Group,1,2024,6,6.0,😡 There was no hot water. There was silence and slept well Breakfast according to the hotel level. Not having hot water in the morning and the TV did not have the main Portuguese channels. It was asked for help but the employee did not realize anything from the command. He advised to search the menu but started on channel 11 and none was straightforward.,sadness,0.2662680149078369,2024-06
Portugal,Twin Room,Family,1,2024,6,5.0,"Passable Friendly employees. You can park nearby The room did not correspond to the photograph shown in the ad, it was below our expectations. The blinds did not close well and the air conditioner had no command so I couldn't use",sadness,0.5596575736999512,2024-06
Portugal,Double Room,Group,1,2024,5,5.0,Passable The location The mattress of the bed,neutral,0.9265871047973633,2024-05
Portugal,Single Room,Solo traveller,1,2024,5,6.0,Enough Very attentive and friendly staff. Regarding the room is very simple but clean. Noise if it is easily heard,neutral,0.5599082708358765,2024-05
France,Double Room,Couple,2,2024,5,6.0,Pleasant No highlights mentioned. We did not manage to sleep because of the noise of ventilation.,sadness,0.8787357807159424,2024-05
Portugal,Double Room,Group,3,2024,6,5.0,"Passable The room was very spacious and the bathroom too. Very comfortable bed and there was plenty of storage space. The air conditioner did not work and the days we spent there were very hot. They gave us a fan, but this one was also broken and we had to always be supporting something so it wouldn't fall. There was no elevator, so after a day of many walks, or if you needed to go up with your bags it would be complicated.",neutral,0.49538618326187134,2024-06
Portugal,Double Room,Couple,2,2024,6,6.0,Pleasant The location No issues mentioned.,sadness,0.7792536616325378,2024-06
Portugal,Double Room,Couple,3,2024,6,5.0,"Acceptable, but not to return No highlights mentioned. A lot of noise coming from the room, even looked like machines to work",neutral,0.8171670436859131,2024-06
Brazil,Single Room,Solo traveller,3,2024,5,7.0,Good cost benefit. Excellent cost benefit with good breakfast and next to St. John's Hospital Station from where you will easily to the center ..... this line is the same that crosses the famous bridge d Luis Ancient building and furniture that deserves a good renovation but just for overnight I think it's worth the cost benefit,neutral,0.5812931060791016,2024-05
Colombia,Twin Room,Group,2,2024,5,7.0,"Recommended Portinari stay It is comfortable, has everything necessary and lent us blankets and heater since it was a bit cold, breakfast was on time and met the needs according to the price Little shower water came out during the day and it was a bit dark",neutral,0.5299937129020691,2024-05
France,Single Room,Solo traveller,4,2024,5,5.0,"Passable Pleasant staff. Good breakfast, good value for money very poor quality Wi-Fi, only operated only in reception
Very noisy: hotel in the university district and students partying in the bar just below until 3 a.m.
Frequent electricity break: one morning to shower early (6 am), I had to open the door of the corridor and the bathroom to have a net of light taking my shower. For a single woman, not cool!
Far from the center, need to take a transport for each outing",sadness,0.29826053977012634,2024-05
Portugal,Double Room,Family,1,2024,5,6.0,"Unexpected reality! From breakfast, friendliness of the receptionist! WC not equipped with soap, or soap!",surprise,0.8265677690505981,2024-05
Italy,Double Room,Couple,7,2024,4,6.0,Pleasant No highlights mentioned. Noisy conditioning unit and Ki too close to the window.,sadness,0.8679699301719666,2024-04
Portugal,Twin Room,Family,1,2024,5,7.0,"Good It is well located, with the metro station at 5 minutes and with many places to make a meal. A little noisy because it is near the hospital.
The bathroom needs to be improved.",neutral,0.4990141689777374,2024-05
Portugal,Twin Room,Solo traveller,1,2024,5,5.0,"Passable Breakfast The lack of professionalism/sympathy of an employee. 
The facilities ... a little old.
Not have parking.",sadness,0.4047417640686035,2024-05
