country,room_type,traveler_type,nr_nights,year,month,score,title_review_en,pos_review_en,neg_review_en
australia,comfort king room,couple,3,2024,9,8.0,"great location, but someone needs to give the staff something to smile about.","great location, great breakfast.",all staff lacked personalities and could with some lessons in customer service.
united kingdom,comfort suite,group,5,2024,10,9.0,excellent location and spacious rooms.,central location. good breakfast. spacious room and good facilities. comfortable beds and plenty of wardrobe space and hangers.,nothing
united kingdom,comfort king room,couple,4,2024,10,10.0,all we could have wished for and more,"the comfy room was a good size and was very clean, breakfast was very good and the staff were extremely friendly and helpful. the hotel is beautiful inside and the bar 17 was very comfortable",the bed was a little hard
united kingdom,comfort double room,group,3,2024,9,10.0,"great city, wonderful hotel in the perfect location","location, facilities. comfortable & clean. great views from the bar & restaurant",no review
mexico,comfort king room,couple,1,2024,9,8.0,not the best you can find in porto,the room was very comfortable,"the location is just in front of a parking lot, and at night there was a huge party (parking lot), too noisy, we didn't sleep well"
new zealand,comfort twin room,couple,2,2024,9,8.0,very good,"clean, spacious room with great view. comfortable bed, plenty of storage. helpful, pleasant front desk.",no review
saudi arabia,comfort twin room,group,3,2024,9,9.0,superb,the location of was great and the staff were very welcoming.,no review
ireland,comfort king room,group,3,2024,9,10.0,don't hesitate to book .......,location of the hotel was great. close to main shopping area and also the port. staff were very friendly and helpful. management treated one of the group extra special as it was her birthday. we really appreciated the kindness towards her.,no review
brazil,comfort king room,family,4,2024,9,10.0,fine experience,"it ia a classic big hotel, with a great location, comfortable rooms and excellent breakfast.",no review
united states,comfort double room,family,3,2024,8,10.0,very nice hotel. great breakfast!,very nice hotel. great breakfast!,no review
australia,comfort double room,couple,1,2024,8,9.0,"helpful staff, beautiful room and generous in celebrating our honeymoon by upgrading our room.","the staff were fantastic, they stored our bags, called us when the room were ready and helped organise a take away breakfast for an early departure.",no review
united kingdom,comfort double room,couple,4,2024,9,9.0,"great location, great hotel with professional staff","staff are very helpful and professional, speak good english with good attention to detail, rooms are very clean and comfortable, location is perfect distance to the center.",no review
united kingdom,comfort double room,couple,2,2024,9,10.0,incredible find in the center of town,location of the property was great. hotel itself was very accommodating and clean. they were very helpful,no review
netherlands,comfort single room,solo traveller,1,2024,8,10.0,amazing views at rooftop with luxury modern hotel rooms,rooftop was amazing and great room service,no review
united kingdom,comfort king room,couple,3,2024,9,10.0,wonderful,great location. staff very welcoming and friendly. lovely clean room. amazing rooftop bar with amazing cocktails.  loved our stay here.,no review
united states,comfort double room,family,3,2024,8,9.0,superb,location clean nice,no review
israel,plus comfort suite,family,3,2024,8,9.0,superb,location is about 20 minutes walk to the center. it also takes 10-15 minutes by car. the problem is the way back as it is a steep climb which takes 30-40 minutes. we always took a cab/uber. otherwise - place was great and highly recommended,no review
united kingdom,comfort double room,couple,1,2024,8,9.0,excellent.,"great position and super view of porto. rooms were clean, quiet, well furnished and the bed was very comfortable. walking distance to the centre was great. floor 17 was superb. great views. great food. reasonably priced.",breakfast. we found the food a bit tasteless. will go out for breakfast next time .
portugal,comfort single room,solo traveller,2,2024,8,10.0,i will recommend this hotel to my friends and will definitely stay here on my next visit to porto.,"this is an amazing hotel right in the city center, near a convenient transportation hub and metro, from where you can easily reach any district in porto. the room was comfortable, clean, and quiet, with a stunning view of the historic part of the city and the ocean in the distance.",no review
united states,comfort single room,solo traveller,1,2024,8,10.0,stayed for about 11 nights...all good,have traveled extensively around world  one of the best breakfast i've ever had service outstanding!!! juices amazing  thank you,zero
united kingdom,comfort double room,couple,3,2024,8,10.0,exceptional,"the place was spotless, with a warm and helpful staff, a great location, and an excellent breakfast",no review
united kingdom,comfort double room,couple,3,2024,7,10.0,excellent hotel,"spacious room, friendly staff and fabulous location. would recommend the bar, the drinks were great and it has stunning views of the city. would definitely stay here again!",no review
portugal,comfort suite,family,2,2024,8,10.0,"excellent, comfortable stay in porto","the staff were great and very helpful. we stayed in a comfort suite which was spacious, modern and clean with a good modern bathroom.   breakfast was fantastic, with a wide choice and very tasty. particularly loved the fresh fruit, smoothies and juices.  excellent location. walking distance to centre, shopping, restaurants and river douro.  nice roof top bar for drinks and snacks.",nothing
spain,comfort king room,group,3,2024,8,10.0,great place to stay,i always stay here when i'm in porto. fantastic location and views.,no review
united states,comfort single room,solo traveller,8,2024,8,10.0,will stay again next month,location. all the staff amazing  great great breakfast with the best service. thanks room 101,zero!!!!!
canada,comfort king room,family,1,2024,8,10.0,very good,"location is great, rooms were clean, breakfast (extra $) was very good and worth the money. nice view from 17 floor restaurant, and very pleasant and helpful staff.","corridors are extremely dark, door has no functional safety closure from inside, and no car parking, but we managed."
spain,comfort single room,family,6,2024,8,9.0,very comfortable,"exceptional breakfast, good rooms, comfy beds, air con, toiletries, big-enough-safes and espresso machine in the rooms, sockets by beds, a socket in bathroom for a hairdryer (and a hotel hairdryer), walking distance from main city attractions, a parking nearby. very nice and comfortable hotel.","wi-fi quality is not great.   we also had a small incident where hotel stuff could have been more helpful, esp. given it was their mistake which could have cost me money - they finally solved the issue, which i am grateful for."
canada,comfort single room,solo traveller,2,2024,8,8.0,short stay downtown porto,"good views from the room, great views from the 17th floor bar. great location, on the edge of tourist area so not overrun.",chintzy that they only provided free coffee capsules for the first night... room was pretty small as i didn't opt to pay for bigger one - closet was small and suitcase got in my way.
united kingdom,comfort king room,couple,4,2024,7,8.0,very good,clean and comfortable stay.,n/a
switzerland,comfort double room,solo traveller,1,2024,8,9.0,superb,"this hotel is very known in porto for its bar & restaurant on the 17th floor. you can have a view over all porto on it. the rooms are comfortable and the service is excellent. staff was always very nice! i also had breakfast in the morning, which has everything you can imagine of.",no review
united kingdom,comfort double room,couple,2,2024,8,9.0,good stay,"good breakfast, great location for",no review
ireland,comfort double room,couple,1,2024,8,10.0,exceptional,"very good choice , prompt service and friendly staff",n/a
israel,comfort king room,couple,3,2024,8,10.0,exceptional,great teem. great location.,no review
mauritius,comfort double room,couple,4,2024,7,10.0,exceptional!,"everything was clean and staff were extremely friendly. special thanks to antonio and adrian, the 2 porters. the lounge on the 17th floor was the cherry on the cake. great place to relax an chill over a drink.",no review
spain,comfort double room,solo traveller,3,2024,7,10.0,exceptional,"great location, view of the city. the room has good sound insulation. very comfortable pillows! ideal lighting in the room with the ability to adjust. lots of mirrors!! thank you very much to the staff for the birthday greetings. it was very nice!",no review
bosnia and herzegovina,comfort double room,family,3,2024,7,9.0,good!,location and staff.,we couldn't see the restaurant without reservation. breakfast was same every day. towels were not changed for three days.
united arab emirates,comfort twin room,family,4,2024,7,9.0,very nice stay in porto,very nice staff spacious rooms  nice views from the room great breakfast  availability of parking close to the tourist attractions,no review
united kingdom,comfort king room,couple,5,2024,7,9.0,it was our 25th wedding anniversary and my wife's birthdayand we have some very special memories.,"room was brilliant. wonderful view over the city. breakfast was excellent, plenty of choice and very nice coffee. it was a little way out but once you found your way to the river it didn't take long.",no review
ireland,comfort double room,couple,4,2024,7,10.0,"lovely hotel, very central and clean",rooms were spacious and very clean,no review
united kingdom,comfort double room,solo traveller,5,2024,7,8.0,very good quality accommodation in a good location.,"great location and clean, comfortable rooms with very good facilities. enjoyable breakfast with plenty of fresh food to choose from.",there wasn't anything i didn't like but some hotel staff were friendlier than others. all were very professional but some could learn to be a little more courteous. guests should be made to feel welcome by everyone.
cyprus,comfort double room,group,3,2024,7,9.0,superb,"very clean, very good breakfast, very good / helpful staff, very nice roof top bar with amazing views. location was good",minor comment on the coffee machine in the room: capsules were only provided for one use
united kingdom,comfort double room,couple,6,2024,7,8.0,"nice hotel, decent breakfast but 30 mins walk to the river","decent hotel with ok breakfast. some staff friendly, some not as much. room not ultra modern but clean and functional.",location is good for the city but is 30 minutes walk to the riverside and louis 1 bridge and the restaurants and port tasting. okay on way down but uphill all the way back (taxi was eur5)
spain,comfort double room,couple,3,2024,7,8.0,clean rooms and outstanding restaurant,rooms were clean and the restaurant is excellent,the lobby and corridors are dark and look a bit old fashioned and tired
united states,comfort family room plus,family,2,2024,7,10.0,exceptional,great location. excellent view from the 17th floor bar,no review
united states,comfort double room,solo traveller,3,2024,7,9.0,excellent property and very nice hotel,location was great. rooftop bar was fantastic,i was on floor 2 street side and it was very loud with trucks early in the morning.
united kingdom,comfort double room,couple,3,2024,7,9.0,excellent location and outstanding views from the terrace bar.,very comfortable room. the terrace bar on the 13th floor gave a superb view of the city. the restaurant on the 14th floor was excellent and had stunning views over the city.,car parking was across the road in a circular format round building. not ideal but the porter helped with the luggage and was very friendly.
ireland,comfort twin room,couple,4,2024,7,10.0,we would recommend this hotel.,"it was modern, comfortable and very clean. the staff were friendly and helpful. the bar on the 17th floor was really lovely with amazing views of the city.",nothing
ireland,comfort double room,family,4,2024,7,10.0,fabulous hotel,excellent hotel. could not find fault anywhere. will definitely return to the hotel dom henrique,no review
united kingdom,comfort double room,family,2,2024,7,9.0,exactly what we were looking for,very friendly staff and modern rooms. lovely bar and restaurant. had a free upgrade to a king sized room.,no review
ireland,comfort single room,solo traveller,4,2024,7,8.0,lovely hotel - recommend for porto stay,room very quiet and comfortable staff very nice and helpful rooftop bar lovely,the hotel is a bit of a hike from the riverfront in the heat
greece,comfort king room,couple,3,2024,7,8.0,"nice location, comfortable room, restaurant can be improved.","the location of the hotel is amazing. walking distance from all the main sightseeings. the room was specious with an amazing king size bed thta you could really enjoy your sleep. the breakfast had a big variety of choices, with the only 'negative' point that they were not plastic cups in order to take the coffee in the room. the first night we tried the restaurant on the rooftop. the food was nice, however even though we were quite early there our dinner was delayed and tables that arrived after us were surved first. furthermore, we were in a table inside close to a corner that was leaking in the roof and they just had a small 'bucket' to keep the water in (which actually was splashing around). the service could be improved.",no review
united states,plus comfort suite,family,3,2024,7,10.0,everything was wonderful!!!!,"breakfast was delicious, room was excellent. location perfect!",no review
united kingdom,comfort double room,solo traveller,5,2024,7,10.0,very enjoyable,i really enjoyed everything! the breakfast was your usual continental but can't fault having such a nice selection to fill you up for the best part of the day.,"honestly, the only minor thing was that the bar seemed to be shut often during early hours. wasn't really an issue though."
canada,comfort double room,solo traveller,2,2024,7,10.0,excelkent hotel,excellent location and service.,everything was great.
united kingdom,comfort double room,couple,5,2024,7,9.0,ok,room a little small breakfast excellant,smallish room
canada,comfort single room,solo traveller,1,2024,7,9.0,superb,"rooms not big but comfortable, and the outstanding rooftop is a must!!! what a great dinner.","unfortunately in my room, a very a strong smell from pipes in washroom. i stayed 1 night it wasn't a big deal for me, but yes a strong smell."
united kingdom,comfort king room,family,2,2024,6,9.0,superb,the hotel reception was helpful and friendly. the bar area was comfortable and clean. the room was a king comfort and was very nice.the location very good was not far from restaurants and not far from metro.,the view from room only looked at other buildings as it was in the city. the breakfast price was a bit pricey 15 euros each.
bonaire st eustatius and saba,comfort king room,family,3,2024,7,8.0,my stay was very pleasant,breakfast was very good. service from the staff was excellent.,more lights in the coridor.
united states,comfort single room,solo traveller,1,2024,6,9.0,superb,the hotel is nicely located within walking distance to the old city center. the room had a nice view and was clean.,no review
united kingdom,comfort double room,couple,4,2024,6,8.0,very good,"the hotel is in an excellent position for using the metro link and getting to and from the airport. everything seemed to be in easy walking distance, restaurants, bars, day trips, market, shops .","the room hot drinks facilities was poor, not enough tea bags coffee & milk , we like a hot drink when we first get up and a hot drink in the evening when relaxing in the room before going to bed ."
united kingdom,comfort twin room,family,1,2024,6,10.0,enjoyed the stay,"appreciated the standards, just as expected.  good location.",no review
canada,comfort double room,family,2,2024,6,8.0,very good,the roof top restaurant.. amazing view and good(book in advance though).. the concierge team were very helpful..,"the rooms were very basic,no refill of water and not enough amenities.. the location takes 20 to 25 minutes walking to down town."
iceland,comfort king room,couple,3,2024,6,9.0,superb,no review,beds are a bit hard.
united states,comfort suite,group,2,2024,6,10.0,we had a great time at this hotel and i highly recommend it to others .,it was a clean place the view in the 17 floor was amazing .,no review
romania,comfort king room,couple,5,2024,6,8.0,very good,no review,"low quality breakfast due to very low quality of products like cheeses, salami, jams, honey, etc. which could be find at any cheap supermarket; comparing to the very good products made in portugal which we got at restaurants in town. omelette, only for 10 eur!! bad pillows."
ireland,comfort double room,couple,4,2024,6,9.0,excellent hotel; i'd stay again.,"lovely interior, handy location, and great staff.",no review
spain,comfort double room,solo traveller,4,2024,6,10.0,i have and will stay here again.,great location. helpful staff.,no review
saudi arabia,comfort double room,solo traveller,2,2024,6,10.0,exceptional,"they really care about the details, i had a late check in at night and 3 staff were expecting me. felt special and take care of. love the terrace as well",everything is perfect
united states,comfort king room,couple,3,2024,5,9.0,"lovely, large room with great bed and balcony, excellent breakfast & amazing staff","unbelievably helpful staff, everyone at the front desk and i am sorry i can only remember antonio's name - there was another gentleman and a very nice woman as well. very nice breakfast. lovely, spacious room with large balcony. the bed was very comfortable. location downtown was fine - some people mention concerns about it, but we felt safe walking and were directed to some great local restaurants nearby.","there was a volume limit set on the tv that made it almost impossible to hear unless you were standing next to the tv. also, just a warning, the tub enclosure is very high off the ground and you should use a lot of caution getting in and out. we never had a mishap, but we were paying really close attention."
united kingdom,comfort double room,group,2,2024,6,9.0,try that roof top terrace,"location, roof top terrace",nothing - our stay was excellent
united kingdom,comfort king room,couple,2,2024,6,8.0,fantastic hotel great location wonderful restaurant and bar.,amazing bar and restaurant. wonderful size room and incredible views. perfectly located.,nothing
united states,comfort single room,solo traveller,3,2024,6,9.0,superb,"loved the staff, the location.",the bed was a bit too hard for my liking
united states,comfort king room,group,5,2024,5,9.0,"great stay at a modern, clean and friendly hotel",the property was clean and modern. excellent breakfast with on outstanding selection of cold and hot choices. the front desk was very helpful with recommendations for dinner and sights to see. the restaurant on the top floor was so good that we had dinner two nights of our stay. outstanding view from the top floor bar. will definitely return should we go back to porto.,nothing. everything was perfect.
united states,comfort double room,solo traveller,2,2024,6,10.0,exceptional,"location, parking across the street.",no review
united states,comfort king room,couple,6,2024,6,9.0,well worth staying here,"their restaurant, 17, was exceptional",a/c made noise. hotel was willing to change our room.
germany,comfort single room,solo traveller,1,2024,6,9.0,amazing value for money,"very well located, the room was big and very clean.  i stayed only 1 night, but the night was very comfortable.",no review
new zealand,comfort king room,couple,3,2024,6,8.0,quality modern hotel close to city centre and good value,modern hotel located close to city centre,no review
portugal,comfort single room,solo traveller,1,2024,6,9.0,worthy stay!,"staff is friendly, structure is good, clean, with services and views. one of the best four stars i've ever stayed on in portugal.","my only critique is the common practice in pt tonput the minibar inside a cabined or wardrobe. it renders impossible to chill anything inside below room temperature, making it just a cabinet..."
austria,comfort single room,couple,7,2024,6,9.0,superb,no review,"wifi should be available for whole stay and not end 08:00 in the morning of the day of departure, free refill of coffee in your room without asking for it at the rezeption would be an improvement."
switzerland,comfort family room plus,family,4,2024,6,8.0,nice family room in porto center,the location is great - in circa 20 minutes til the river. the family room was clean and spacious with 2 separated doors  the roof top restaurant has a stunning view and the food was really good - not cheap though but you pay the ambiance. the breakfast buffet was good and a wide choice only the coffee was average. i enjoy a good coffee latte in the morning,the coffee at the breakfast buffet - maybe would be good to offer warm milk besides cold milk the wall of the shower in our family room looked pretty old with some small holes.
united kingdom,comfort double room,couple,4,2024,5,8.0,we thoroughly enjoyed our stay at this hotel! the staff were exceptionally friendly and helpful,"staff were exceptionally helpful and friendly, arranging taxi's for us, sourcing an iron and answering any queries we had  close location to the centre  modern, contemporary decor continental breakfast",cooked breakfast could have been better no milk for tea's or coffee's in the room
united kingdom,comfort suite,family,1,2024,5,10.0,perfect,"5 stars i've stayed here at the hotel dom henrique for the third time and this hotel is perfect, perfectly placed a short walk away from the train station the metro station, and the town centre, the hotel is well maintained with great facilities, and rooms are very comfortable and spacious, and the bonus is the rooftop restaurant and bar area with views of the city of porto and not last the very friendly staff. definitely would recommend",no review
united kingdom,comfort king double room with romantic package,couple,2,2024,3,8.0,nice hotel,"exceeded my expectation, not only provides excellent accommodations but also an unforgettable rooftop experience. the views from the top are absolutely stunning, offering a sweeping panorama of the city. i highly recommend it to anyone looking for a memorable stay with an added touch of elegance and breathtaking views",we liked everything :)
united kingdom,comfort king room,couple,5,2024,5,10.0,"we stayed 5 nights, lovely hotel and great views from the cocktail lounge.","our room was of a good size, comfortable, clean and quiet. good closet space, comfortable mattress and a nice shower/bathroom. breakfast was lovely, a good choice of meats, cheese, fruit, pastries, eggs and bacon.",nothing
israel,comfort double room,couple,3,2024,5,10.0,excelent hotel,"staff kindness and dedicated to help, breakfast, cleanles we were upgraded from double room to suite in the 14 floor",smell of the carpet in the room
luxembourg,comfort king room,couple,1,2024,5,10.0,"great service, great value for price and just walking distance from the center of porto","great location, just walking distance from the center. they have a bar in the 17th floor with a great view. and the room was better than we expected.","the breakfast is a normal hotel breakfast, nothing special. could be better."
united kingdom,comfort single room,solo traveller,1,2024,4,9.0,very good location,very convenient location. room was comfortable with nice views. excellent breakfast. good value for money,nothing
chile,comfort suite,family,1,2024,5,10.0,lovely stay!,location and restaurant in the top floor.,no review
