country,room_type,traveler_type,nr_nights,date,year,month,score,title_review_en,pos_review_en,neg_review_en
United Kingdom,Double Room,Couple,1,May 2022,2022,May,9.0,"good value for money for my purpose, I used it as a base for my visit and that was fine.",The helpfulness of the staff. Marsiue/ Mathew? Is excellent with perfect English. He helped us with a number of things.,All was much as expected. Although I am fairly certain the airport is further away than I was expecting.
Romania,Single Room,Solo traveller,1,May 2022,2022,May,10.0,great hotel,"very clean place, good breakfast and very friendly and helpful staff",No review
Spain,Twin Room,Family,1,April 2022,2022,April,3.0,Poor,No review,It was very cold in the room
Portugal,Double Room,Couple,1,April 2022,2022,April,10.0,Exceptional,"The staff was brilliant, price quality is excelent",It's good for what you're paying
Estonia,Double Room,Couple,3,April 2022,2022,April,2.0,Very poor,The staff was quite friendly.,"Could hear everything from outside and the corridor and it seemed like a washing machine was constantly working even at night. Looked way better on pictures, actually seemed very old, dull and more like a hostel. Breakfast was almost non-existent, only some bacon, sausages, bread and coffee. One morning we noticed that the vacuum cleaner was put on the counter right next to plates and cutlery. There were stains on the bed and the room seemed dirty, for instance windows were not cleaned. Even the towels had rust stains on them. This ""hotel"" should get a major renovation."
Portugal,Double Room,Solo traveller,6,February 2023,2023,February,7.0,Good,it had everything I needed,nothing
Spain,Twin Room,Couple,2,March 2023,2023,March,1.0,horrible stay,nothing,"horrible breakfast, horrible employees and horrible room"
Brazil,Double Room,Couple,1,February 2025,2025,February,7.0,Bom,Service,"Very simple room, needs a renovation"
United Kingdom,Single Room,Solo traveller,10,January 2025,2025,January,7.0,Good,No review,The TV does not have the Portuguese general channels tuned. RTP. Sic. TVI. Etc.
Portugal,Twin Room,Group,2,January 2025,2025,January,5.0,For the price could be better,Great location,"The bed, the blanket, the balcony"
Portugal,Twin Room,Family,1,December 2024,2024,December,6.0,Pleasant,No review,The air conditioner and television did not work.
Italy,Double Room,Family,2,December 2024,2024,December,6.0,Pleasant,-Position  -very kind and helpful fee,"-insufficient level  -Arredi and a little dated furnishings -Presens that the hotel correctly indicated that check-in was from 2 pm onwards, arrived at the hotel around 11 we asked if the room was already available; We have been said yes but also that the entrance before the time would cost us 20 EUR; We refused but they were kind and made us leave the luggage that then brought us to the room ... it is not for the money, but this request does not seem to us a correct thing ... if the room had been occupied any problem, we would also have expected beyond the time if it had been necessary, but since it was free to allow us to enter before it would have provided us with a better service and made to rest a little since we came from a long journey ... at the hotel they would not have cost anyway ... of an excellent reputation ..."
Portugal,Twin Room,Group,2,November 2024,2024,November,5.0,It was reasonable.,Breakfast was excellent. It had a lot of variety.  That's what I liked the most. It had an excellent location.,The mattresses were extremely uncomfortable. They were terrible. I want to believe that not all rooms will be like this. There was a lot of moisture on the walls.
Portugal,Single Room,Solo traveller,2,November 2024,2024,November,6.0,"Given the price, it was good. Mattress and pillows need to be changed",Breakfast,Mattress and pillows
Portugal,Double Room,Family,2,November 2024,2024,November,5.0,Passable,Suitable breakfast.,Lack of maintenance of the room. Moisture on the ceiling. Almost no television channels worked.
Argentina,Twin Room,Couple,1,October 2024,2024,October,5.0,Passable,A full breakfast.,No three -story staircase information and bathroom with broken devices (shower and toilet)
France,Double Room,Family,1,October 2024,2024,October,5.0,DECEIVES,Nothing,No bed for my 2 year old baby .....
Portugal,Single Room,Solo traveller,1,October 2024,2024,October,7.0,Good,"Practical, 24h receptionist, breakfast",Very old and lacking maintenance
France,Twin Room,Family,4,October 2024,2024,October,6.0,Pleasant,Pleasant and dedicated staff. Cleanliness. Excellent breakfast.,Lack of elevator.  Need a lot of maintenance and renovation.
Luxembourg,Single Room,Solo traveller,1,October 2024,2024,October,6.0,Pleasant,The price,Cleanliness was not great and needs to be renovated
Turkey,Twin Room,Solo traveller,2,September 2024,2024,September,5.0,iron,The location was good. The price is affordable according to its location. Safe and staff well -intentioned. this is everything.,"No details such as room service, food, drink. Breakfast is not enough. The bathroom is not useful."
Brazil,Double Room,Couple,2,September 2024,2024,September,7.0,Good,Very good breakfast,No review
Spain,Double Room,Couple,1,September 2024,2024,September,7.0,Good,"Good benefit price relationship, to spend one night.",No review
Brazil,Single Room,Solo traveller,5,September 2024,2024,September,7.0,Good. But the bathroom left something to be desired,No review,The bedroom bathroom. In the shower box there was curtain that leaked water in the bathroom and bedroom.
Portugal,Double Room,Couple,1,September 2024,2024,September,5.0,Served the purpose,Price,Certain things were very old
Brazil,Twin Room,Couple,3,September 2024,2024,September,6.0,"I like the hotel, but it needs maintenance.",Agility for room exchange,"Bathroom doors do not close, entrance door with rocking doorknob, bathroom with discharge leaking.... Finally needs maintenance..."
Portugal,Twin Room,Family,2,September 2024,2024,September,7.0,Good breakfast,The breakfast is great. It has a variety of breads and with port -fashioned croissains. There are other food options.,The facilities are old and worn out.
Portugal,Double Room,Couple,1,August 2024,2024,August,7.0,Good,I liked the service,Just one criticism: the towels only arrived at 15:30 hours.
Portugal,Double Room,Family,2,August 2024,2024,August,7.0,Good,"Going out for a walk, without worrying about the time of return, because just play the doorbell, and an employee comes to open the door. The breakfast! Good appearance, fresh and very varied.",No review
Spain,Double Room,Couple,4,August 2024,2024,August,6.0,Pleasant,Very nice staff and suitable breakfast at the price.,"The facilities are very old. The towels were stained (all that they took us), some were even clippings of a larger towel and were parades (I attach photos)."
Spain,Twin Room,Family,2,August 2024,2024,August,7.0,Good,Customer service !! Without a doubt.,No review
Brazil,Double Room,Couple,4,August 2024,2024,August,5.0,Passable,Good location! About 10min of Uber from the center of Porto.  Uber even the sights gave around 5 euros. Strong shower.  Simple but acceptable coffee. Well -educated and receptive employees.,"Very bad cleaning, we find many hair in the bathroom. Mold walls and paint peeling from the bathroom.  Poor quality pillows, old covers and a minibar lacked."
Spain,Double Room,Couple,5,August 2024,2024,August,7.0,Good,Perfect location to go with a car. The subway next to the center and can be parked well. The comfortable bed.,Slightly old furniture.
Italy,Single Room,Solo traveller,4,July 2024,2024,July,6.0,Pleasant,The very friendly staff,The room stinking with smoke and it was difficult to adjust the water to the bathroom at a bearable temperature.
Portugal,Double Room,Group,1,August 2024,2024,August,7.0,Good,All,Everything was good
Portugal,Double Room,Family,1,July 2024,2024,July,6.0,Pleasant,The staff very well received at the premises and cleaning breakfast for the hotel it is.,"Hotel without elevator, very old installations, low maintenance bathroom and old with some damaged things."
Portugal,Single Room,Solo traveller,2,June 2024,2024,June,7.0,Good,Employee availability.,The wear of sanitary facilities.
Spain,Twin Room,Group,2,July 2024,2024,July,6.0,"Recommended for the price, it looked better in the photos","It is close to the subway, the reception girls are very pleasant",The two days I spent was the light for hours
Spain,Single Room,Family,3,July 2024,2024,July,6.0,Pleasant,Breakfast,The facilities are a bit careless and a bit dirty.
Portugal,Double Room,Couple,6,July 2024,2024,July,7.0,Good,FUNCTIONARIES WERE REASONABLE AND ATTENDIOUS,Bathroom
East Timor,Double Room,Family,1,July 2024,2024,July,5.0,The price is excellent,"Cheap price,",We heard a lot of noise from cars
Portugal,Double Room,Family,1,June 2024,2024,June,5.0,Passable,Acceptable only to rest a few hours,"Air conditioning to work very badly, When arriving at the room, there was no air conditioning command, we had to ask at the reception, after turning on and starting to work, water began to fall inside the room. Lack of towels in the bathroom."
Portugal,Twin Room,Couple,1,June 2024,2024,June,6.0,Answered basicly,"Too simple but clean, I suggest some more modern decoration.","I didn't like it, quite basic."
Portugal,Twin Room,Couple,3,May 2024,2024,May,5.0,Travel for boat trip on the Douro River.,"Good and very variety of breakfast, hotel close to Metro and other public transport.","The whole hotel needs a great renewal, dirty and degraded porch."
Portugal,Twin Room,Couple,1,June 2024,2024,June,5.0,Passable,Sympathy,Comfort
Portugal,Twin Room,Group,1,June 2024,2024,June,6.0,There was no hot water. There was silence and slept well,Breakfast according to the hotel level.,Not having hot water in the morning and the TV did not have the main Portuguese channels. It was asked for help but the employee did not realize anything from the command. He advised to search the menu but started on channel 11 and none was straightforward.
Portugal,Twin Room,Family,1,June 2024,2024,June,5.0,Passable,Friendly employees. You can park nearby,"The room did not correspond to the photograph shown in the ad, it was below our expectations. The blinds did not close well and the air conditioner had no command so I couldn't use"
Portugal,Double Room,Group,1,May 2024,2024,May,5.0,Passable,The location,The mattress of the bed
Portugal,Single Room,Solo traveller,1,May 2024,2024,May,6.0,Enough,Very attentive and friendly staff. Regarding the room is very simple but clean.,Noise if it is easily heard
France,Double Room,Couple,2,May 2024,2024,May,6.0,Pleasant,No review,We did not manage to sleep because of the noise of ventilation.
Portugal,Double Room,Group,3,June 2024,2024,June,5.0,Passable,The room was very spacious and the bathroom too. Very comfortable bed and there was plenty of storage space.,"The air conditioner did not work and the days we spent there were very hot. They gave us a fan, but this one was also broken and we had to always be supporting something so it wouldn't fall. There was no elevator, so after a day of many walks, or if you needed to go up with your bags it would be complicated."
Portugal,Double Room,Couple,2,June 2024,2024,June,6.0,Pleasant,The location,No review
Portugal,Double Room,Couple,3,June 2024,2024,June,5.0,"Acceptable, but not to return",No review,"A lot of noise coming from the room, even looked like machines to work"
Brazil,Single Room,Solo traveller,3,May 2024,2024,May,7.0,Good cost benefit.,Excellent cost benefit with good breakfast and next to St. John's Hospital Station from where you will easily to the center ..... this line is the same that crosses the famous bridge d Luis,Ancient building and furniture that deserves a good renovation but just for overnight I think it's worth the cost benefit
Colombia,Twin Room,Group,2,May 2024,2024,May,7.0,Recommended Portinari stay,"It is comfortable, has everything necessary and lent us blankets and heater since it was a bit cold, breakfast was on time and met the needs according to the price",Little shower water came out during the day and it was a bit dark
France,Single Room,Solo traveller,4,May 2024,2024,May,5.0,Passable,"Pleasant staff. Good breakfast, good value for money","very poor quality Wi-Fi, only operated only in reception Very noisy: hotel in the university district and students partying in the bar just below until 3 a.m. Frequent electricity break: one morning to shower early (6 am), I had to open the door of the corridor and the bathroom to have a net of light taking my shower. For a single woman, not cool! Far from the center, need to take a transport for each outing"
Portugal,Double Room,Family,1,May 2024,2024,May,6.0,Unexpected reality!,"From breakfast, friendliness of the receptionist!","WC not equipped with soap, or soap!"
Italy,Double Room,Couple,7,April 2024,2024,April,6.0,Pleasant,No review,Noisy conditioning unit and Ki too close to the window.
Portugal,Twin Room,Family,1,May 2024,2024,May,7.0,Good,"It is well located, with the metro station at 5 minutes and with many places to make a meal.",A little noisy because it is near the hospital. The bathroom needs to be improved.
Portugal,Twin Room,Solo traveller,1,May 2024,2024,May,5.0,Passable,Breakfast,The lack of professionalism/sympathy of an employee.  The facilities ... a little old. Not have parking.
Portugal,Single Room,Solo traveller,1,April 2024,2024,April,5.0,Passable,The kindness of the staff,"The clime does not have an individual remote control which forces us to call the reception to request its activation as well as any need for ""change"" temperature. It was really very hot in the room when I arrived"
Italy,Single Room,Solo traveller,2,April 2024,2024,April,7.0,Good,The room was clean. The kind staff. I recommend it only for the price,"The breakfast was very Spartan, with very little choice. The room had everything but it was old. The shutter did not work."
Portugal,Single Room,Solo traveller,1,April 2024,2024,April,7.0,Good,"Great location, next to the Sao Joao Hospital and the means of transport. Good quality/price ratio.",No review
Portugal,Single Room,Solo traveller,2,April 2024,2024,April,5.0,"Very friendly employees, but very old facilities.",Location,"The facilities are very old, needing remodeling. The poor quality mattress. The sewage of the room was damaged."
Portugal,Double Room,Family,2,March 2024,2024,March,7.0,Good,Location,"There was no hygienic paper, I had to ask for the reception and the air conditioner would not work with the command, I had to go to the reception as well."
Portugal,Double Room,Couple,3,March 2024,2024,March,7.0,Good,"The bedroom is comfortable, cleaning and very pleasant breakfast",No review
Portugal,Twin Room,Couple,1,March 2024,2024,March,5.0,Need reforms in the building and electrical installations,Location,Light lacked all the time at the hotel
Portugal,Double Room,Couple,2,March 2024,2024,March,7.0,Good,"Attentive staff, breakfast is also good, good cleaning.",It is a little outdated.
Spain,Single Room,Solo traveller,1,March 2024,2024,March,7.0,Good,The staff was very friendly,Uncomfortable bed I had to close the blind to down since you could enter the terraces to any room. Very old hotel
Brazil,Double Room,Couple,1,February 2024,2024,February,6.0,Acceptable,"I liked it was very close to the hospital Sao Joao, because I went there for that reason. I liked the affordable price, the breakfast was good.","The bed was not comfortable, pillow looked like a paper, the air conditioner in the room where we stayed did not work,"
Portugal,Double Room,Couple,1,March 2024,2024,March,7.0,Good,"Bed, cleaning.",Bad pillow. I woke up with neck pain. No control to turn on air conditioning.
Portugal,Double Room,Couple,1,February 2024,2024,February,7.0,Good,Service. Very friendly employees. And pleasant room,Could have television in the room
Brazil,Double Room,Couple,7,February 2024,2024,February,6.0,Very good,The location and parking always available free.,"The door was damaged, the shower was damaged (glued with the wall) causing the water to run down the wall/floor."
Spain,Double Room,Family,1,January 2024,2024,January,6.0,Pleasant,Excellent breakfast and staff. The room quite old and poor. You need a tuning.,The room and bathroom appearance
Portugal,Single Room,Solo traveller,1,February 2024,2024,February,6.0,Pleasant,"The location is very good, all transports are close. There are many cafes and restaurants, supermarkets around. The team is friendly and polite. . Breakfast is good, fresh bread and croissants, muffins, butter, jam, nutella, ham, cheese, coffee and tea.","The room is quite spacious, but the furniture and plumbing are so outdated that they were seen in pre-revolutionary times. The taps are all leaking and the bathroom drain needs to be cleaned; The water flows very badly."
Portugal,Twin Room,Family,2,January 2024,2024,January,7.0,Good,No review,The room in my view needs a remodeling.
